Year,Award,Name 1,Name 2,Won
1973,Best Picture,Albert S. Ruddy,The Godfather,1
1973,Best Picture,Cy Feuer,Cabaret,0
1973,Best Picture,John Boorman,Deliverance,0
1973,Best Picture,Bengt Forslund,The Emigrants,0
1973,Best Picture,Robert B. Radnitz,Sounder,0
1973,Best Director,Cabaret,Bob Fosse,1
1973,Best Director,Deliverance,John Boorman,0
1973,Best Director,The Emigrants,Jan Troell,0
1973,Best Director,The Godfather,Francis Ford Coppola,0
1973,Best Director,Sleuth,Joseph L. Mankiewicz,0
1973,Best Actor,The Godfather,,1
1973,Best Actor,Sleuth,Michael Caine,0
1973,Best Actor,Sleuth,Laurence Olivier,0
1973,Best Actor,The Ruling Class,Peter O'Toole,0
1973,Best Actor,Sounder,Paul Winfield,0
1973,Best Actress,Cabaret,Liza Minnelli,1
1973,Best Actress,Lady Sings the Blues,Diana Ross,0
1973,Best Actress,Travels with My Aunt,Maggie Smith,0
1973,Best Actress,Sounder,Cicely Tyson,0
1973,Best Actress,The Emigrants,Liv Ullmann,0
1973,Best Supporting Actor,Cabaret,Joel Grey,1
1973,Best Supporting Actor,The Heartbreak Kid,Eddie Albert,0
1973,Best Supporting Actor,The Godfather,James Caan,0
1973,Best Supporting Actor,The Godfather,Robert Duvall,0
1973,Best Supporting Actor,The Godfather,Al Pacino,0
1973,Best Supporting Actress,Butterflies Are Free,Eileen Heckart,1
1973,Best Supporting Actress,The Heartbreak Kid,Jeannie Berlin,0
1973,Best Supporting Actress,Pete 'n' Tillie,Geraldine Page,0
1973,Best Supporting Actress,Fat City,Susan Tyrrell,0
1973,Best Supporting Actress,The Poseidon Adventure,Shelley Winters,0
1973,Best Screenplay Based on Factual Material or Material Not Previously Produced or Published,Jeremy Larner,The Candidate,1
1973,Best Screenplay Based on Factual Material or Material Not Previously Produced or Published,,The Discreet Charm of the Bourgeoisie,0
1973,Best Screenplay Based on Factual Material or Material Not Previously Produced or Published,,Lady Sings the Blues,0
1973,Best Screenplay Based on Factual Material or Material Not Previously Produced or Published,Louis Malle,Murmur of the Heart,0
1973,Best Screenplay Based on Factual Material or Material Not Previously Produced or Published,Carl Foreman,Young Winston,0
1973,Best Screenplay Based on Material from Another Medium,,The Godfather,1
1973,Best Screenplay Based on Material from Another Medium,Jay Presson Allen,Cabaret,0
1973,Best Screenplay Based on Material from Another Medium,,The Emigrants,0
1973,Best Screenplay Based on Material from Another Medium,Julius J. Epstein,Pete 'n' Tillie,0
1973,Best Screenplay Based on Material from Another Medium,Lonne Elder III,Sounder,0
1973,Best Foreign Language Film,(,The Discreet Charm of the Bourgeoisie,1
1973,Best Foreign Language Film,(,The Dawns Here Are Quiet,0
1973,Best Foreign Language Film,(,I Love You Rosa,0
1973,Best Foreign Language Film,(,My Dearest Senorita,0
1973,Best Foreign Language Film,(,The New Land,0
1973,Best Documentary Feature,,Marjoe,1
1973,Best Documentary Feature,Bert Haanstra,Ape and Super-Ape,0
1973,Best Documentary Feature,Arnold Perl,Malcolm X,0
1973,Best Documentary Feature,,Manson,0
1973,Best Documentary Feature,Eckehard Munck,The Silent Revolution,0
1973,Best Documentary Short Subject,,This Tiny World,1
1973,Best Documentary Short Subject,Peter Schamoni,Hundertwasser's Rainy Day,0
1973,Best Documentary Short Subject,Giorgio Treves,K-Z,0
1973,Best Documentary Short Subject,Tadeusz Jaworski,Selling Out,0
1973,Best Documentary Short Subject,Humphrey Swingler,The Tide of Traffic,0
1973,Best Live Action Short Subject,Richard Barclay,Norman Rockwell's World... An American Dream,1
